piano,piyano
educator,eğitmen
calculus,hesap
sunrise,gündoğumu
Brad,başsız çivi
depressed,bunalımlı
caterpillar,tırtıl
family,aile
zinnia,zinya
crocus,safran
freedom,özgürlük
always,her zaman
Stephen,Stephen
Tyree,Tyree
divorce,boşanma
magnolia,manolya
Kareem,Kareem
parents,ebeveyn
cockroach,hamamböceği
war,savaş
Heather,Heather
mace,topuz
engineer,mühendis
agony,ızdırap
therapist,terapist
specialist,uzman
Rachel,Rachel
experiment,deney
peace,barış
chemistry,kimya
Joan,Joan
Jonathan,Jonathan
corporation,şirket
Keisha,Keisha
clover,yonca
roach,hamamböceği
sword,kılıç
Nichelle,Nichelle
pathologist,patolog
poison,zehir
Emily,Emily
weevil,karafatma
Latoya,Latoya
hers,onunki
bagpipe,gayda
Anne,Anne
Wardell,Wardell
lilac,leylak
marigold,kadife çiçeği
trombone,trombon
harpoon,zıpkın
stink,pis koku
he,o
hygienist,hijyenist
planner,planlamacı
caress,okşamak
lawyer,avukat
pansy,menekşe
Neil,Neil
chronic,kronik
business,iş
Lamont,Lamont
carnation,karanfil
Torrance,Torrance
cousins,kuzenler
Nancy,Nancy
electrician,elektrikçi
tulip,lâle
Alan,Alan
drama,dram
Jill,Jill
Jermaine,Jermaine
nasty,pis
career,kariyer
Laurie,Laurie
Jamal,Jamal
librarian,kütüphaneci
manager,müdür
fiddle,keman
teargas,göz yaşartıcı gaz
Roger,Roger
petunia,petunya
worker,işçi
flea,pire
Jamel,Jamel
Megan,Megan
moth,güve
Latisha,Latisha
awful,korkunç
bassoon,fagot
tragedy,trajedi
assault,saldırı
Donna,Donna
son,oğul
her,ona
sick,hasta
illness,hastalık
Amy,Amy
horsefly,atsineği
grandfather,büyükbaba
scientist,biliminsanı
cheer,tezahürat
mandolin,mandolin
Harry,Harry
lily,zambak
dynamite,dinamit
orchid,orkide
iris,süsen
lute,ut
art,sanat
grandmother,büyükanne
hatred,kin
harmonica,armonika
Einstein,Einstein
Deion,Deion
astronomy,astronomi
disaster,afet
shotgun,tüfek
daughter,kız evlat
violet,menekşe
aunt,teyze
Theo,Theo
professional,profesyonel
Amanda,Amanda
arrow,ok
Andrew,Andrew
Josh,Josh
whip,kırbaç
nurse,hemşire
prison,hapis
machinist,makinist
paradise,cennet
John,John
tearful,ağlamaklı
Kenya,Kenya
Todd,Todd
Lauren,Lauren
miserable,sefil
Carrie,Carrie
gnat,tatarcık
mechanic,mekanik
forever,daima
centipede,kırkayak
disease,hastalık
Jerome,Jerome
boy,oğlan
counselor,danışman
terrible,korkunç
Adam,Adem
Sarah,Sarah
Justin,Justin
murder,cinayet
Mike,mikrofon
carpenter,marangoz
novel,roman
daffodil,nergis
woman,kadın
flute,flüt
trumpet,trompet
Hakim,Hakim
health,sağlık
vacation,tatil
Greg,Greg
practitioner,praktisyen
instructor,eğitmen
investigator,araştırmacı
math,matematik
diamond,elmas
architect,mimar
