piano,klavir,
educator,nastavnik,
calculus,aritmetika,
sunrise,izlazak sunca,
Brad,Brad,
depressed,depresivan,
caterpillar,gusjenica,
family,obitelj,
zinnia,cinija,
crocus,šafran,
freedom,sloboda,
always,uvijek,
Stephen,Stephen,
Tyree,Tyree,
divorce,razvod,
magnolia,magnolija,
Kareem,Kareem,
parents,roditelji,
cockroach,žohar,
war,rat,
Heather,Heather,
mace,topuz,
engineer,inženjer,
agony,agonija,
therapist,terapeut,
specialist,specijalist,
Rachel,Rachel,
experiment,eksperiment,
peace,mir,
chemistry,kemija,
Joan,Joan,
Jonathan,Jonathan,
corporation,korporacija,
Keisha,Keisha,
clover,djetelina,
roach,buba,
sword,mač,
Nichelle,Nichelle,
pathologist,patolog,
poison,otrov,
Emily,Emily,
weevil,žižak,
Latoya,Latoya,
hers,njen,
bagpipe,gajde,
Anne,Anne,
Wardell,Wardell,
lilac,ljiljan,
marigold,neven,
trombone,trombon,
harpoon,harpun,
stink,smrad,
he,on,
hygienist,tehničar,tehničarka
planner,projektant,projektantica
caress,milovati,
lawyer,odvjetnik,
pansy,maćuhica,
Neil,Neil,
chronic,kroničan,
business,poslovanje,
Lamont,Lamont,
carnation,karanfil,
Torrance,Torrance,
cousins,rođaci,
Nancy,Nancy,
electrician,električar,električarka
tulip,tulipan,
Alan,Alan,
drama,drama,
Jill,Jill,
Jermaine,Jermaine,
nasty,gadan,
career,karijera,
Laurie,Laurie,
Jamal,Jamal,
librarian,knjižničar,knjižničarka
manager,menadžer,
fiddle,violina,
teargas,suzavac,
Roger,Roger,
petunia,petunija,
worker,radnik,
flea,buha,
Jamel,Jamel,
Megan,Megan,
moth,moljac,
Latisha,Latisha,
awful,grozan,
bassoon,fagot,
tragedy,tragedija,
assault,napad,
Donna,Donna,
son,sin,
her,nju,
sick,bolestan,
illness,bolest,
Amy,Amy,
horsefly,obad,
grandfather,djed,
scientist,znanstvenik,
cheer,bodriti,
mandolin,mandolina,
Harry,Harry,
lily,ljubičica,
dynamite,dinamit,
orchid,orhideja,
iris,iris,
lute,lutnja,
art,umjetnost,
grandmother,baka,
hatred,mržnja,
harmonica,harmonika,
Einstein,Einstein,
Deion,Deion,
astronomy,astronomija,
disaster,katastrofa,
shotgun,puška,
daughter,kći,
violet,ljubica,
aunt,tetka,
Theo,Theo,
professional,profesionalac,
Amanda,Amanda,
arrow,strijela,
Andrew,Andrew,
Josh,Josh,
whip,bič,
nurse,bolničar,bolničarka
prison,zatvor,
machinist,tokar,
paradise,raj,
John,John,
tearful,uplakan,
Kenya,Kenija,
Todd,Todd,
Lauren,Lauren,
miserable,bijedan,
Carrie,Carrie,
gnat,mušica,
mechanic,mehaničar,
forever,zauvijek,
centipede,stonoga,
disease,bolest,
Jerome,Jerome,
boy,dječak,
counselor,savjetnik,
terrible,užasan,
Adam,Adam,
Sarah,Sara,
Justin,Justin,
murder,ubiti,
Mike,Mikrofon,
carpenter,stolar,
novel,roman,
daffodil,narcis,
woman,žena,
flute,flauta,
trumpet,truba,
Hakim,Hakim,
health,zdravlje,
vacation,odmor,
Greg,Greg,
practitioner,stručnjak,
instructor,instruktor,
investigator,istraživač,
math,matematika,
diamond,dijamant,
architect,arhitekt,
rotten,truo,
slingshot,praćka,
azalea,azaleja,
physics,fizika,
firearm,oružje,
cricket,kriket,
jail,zatvor,
Geoffrey,Geoffrey,
unstable,nestabilan,
NASA,NASA,
Yolanda,Yolanda,
filth,prljavština,
veterinarian,veterinar,
clarinet,klarinet,
surgeon,kirurg,
baker,pekar,
Frank,Frank,
prolonged,produžen,
receptionist,recepcionar,
brother,brat,
Ebony,Ebony,
missile,raketa,
pharmacist,farmaceut,
Brendan,Brendan,
crash,sudar,
rifle,puška,
wonderful,predivan,
pollute,zagaditi,
Kate,Kate,
Aisha,Aisha,
sad,tužan,
grief,tuga,
she,ona,
cannon,top,
uncle,ujak,
management,upravljanje,
nutritionist,nutricionist,
dagger,bodež,
cello,violončelo,
fly,muha,
girl,djevojka,
marriage,brak,
aster,zvjezdan,
bongo,Bongo,
beetle,buha,
father,otac,
clerk,službenik,službenica
blue-bell,zumbul,
advisor,savjetnik,
peony,božur,
spider,pauk,
Tia,Tia,
diploma,diploma,
psychologist,psiholog,
Lakisha,Lakisha,
brief,kratak,
Paul,Pavle,
axe,sjekira,
Shaniqua,Shaniqua,
death,smrt,
bedbug,stjenica,
chemist,kemičar,kemičarka
